0,1
1inch,"(4, 3)"
aave,"(232, 231)"
akro,"(1, 0)"
ant,"(6, 5)"
axs,"(130, 129)"
b20,"(1, 0)"
bal,"(20, 19)"
band,"(7, 6)"
bat,"(2, 1)"
bnt,"(4, 3)"
bond,"(24, 23)"
btsg,"(1, 0)"
cocos,"(4, 3)"
comp,"(258, 257)"
conv,"(1, 0)"
cream,"(36, 35)"
cro,"(1, 0)"
dai,"(1, 0)"
daofi,"(1, 0)"
dfyn,"(1, 0)"
dino,"(1, 0)"
dnxc,"(1, 0)"
don,"(1, 0)"
enj,"(4, 3)"
ern,"(15, 14)"
esd,"(1, 0)"
eth,"(4329, 4328)"
frax,"(1, 0)"
ftm,"(2, 1)"
fxs,"(24, 23)"
grt,"(1, 0)"
iotx,"(1, 0)"
keep,"(1, 0)"
kft,"(1, 0)"
ldo,"(5, 4)"
leash,"(3429, 3428)"
lina,"(1, 0)"
link,"(23, 22)"
lon,"(6, 5)"
lrc,"(3, 2)"
mana,"(5, 4)"
matic,"(2, 1)"
metis,"(106, 105)"
ocean,"(2, 1)"
ogn,"(1, 0)"
oh,"(1, 0)"
paid,"(1, 0)"
pols,"(4, 3)"
pond,"(1, 0)"
quick,"(337, 336)"
rail,"(1, 0)"
ratom,"(26, 25)"
reef,"(1, 0)"
rfuel,"(1, 0)"
rly,"(1, 0)"
rndr,"(7, 6)"
rune,"(11, 10)"
saito,"(1, 0)"
sand,"(8, 7)"
shib,"(1, 0)"
snx,"(8, 7)"
srm,"(5, 4)"
susd,"(1, 0)"
sushi,"(8, 7)"
sxp,"(2, 1)"
tidal,"(1, 0)"
toke,"(58, 57)"
tshp,"(1, 0)"
tusd,"(1, 0)"
ufo,"(1, 0)"
uma,"(13, 12)"
uni,"(19, 18)"
usdc,"(1, 0)"
usdt,"(1, 1)"
ust,"(1, 0)"
wbtc,"(55953, 55952)"
wfil,"(26, 25)"
wscrt,"(6, 5)"
yfi,"(22576, 22575)"
zcn,"(1, 0)"
zcx,"(4, 3)"
zrx,"(1, 0)"
iris,"(1, 0)"
usd,"(2, 1)"
dvpn,"(1, 0)"
atom,"(27, 26)"
regen,"(2, 1)"
akt,"(3, 2)"
eur,"(2, 1)"
ngm,"(1, 0)"
basecro,"(1, 0)"
osmo,"(6, 5)"
ixo,"(1, 0)"
xprt,"(8, 7)"
luna,"(45, 44)"
juno,"(9, 8)"
